doc_id,dataset,num_fewshot,question,target_answer,correct_answer,model_response,exact_match
0,OpenLLM-Ro/ro_gsm8k,5,Rațele lui Janet depun 16 ouă pe zi. Ea mănâncă trei la micul dejun în fiecare dimineață și coace brioșe pentru prietenii ei în fiecare zi cu patru. Ea vinde restul la piața fermierilor zilnic pentru 2 dolari pe ou proaspăt de rață. Câți dolari face ea în fiecare zi la piața fermierilor?,"Janet vinde 16 - 3 - 4 = <<16-3-4=9>>9 ouă de rață pe zi.
Ea face 9 * 2 = $<<9 * 2=18>>> 18 în fiecare zi la piața agricultorului.
#### 18",18,[invalid],0.0
1,OpenLLM-Ro/ro_gsm8k,5,O robă ia 2 bolțuri de fibră albastră și jumătate din acea fibră albă.  Câte șuruburi în total este nevoie?,"Este nevoie de 2/2=<<2/2=1>> 1 bolț de fibre albe
Deci, cantitatea totală de țesătură este 2+1=<<2+1=3>>> 3 șuruburi de țesătură
#### 3",3,2,0.0
2,OpenLLM-Ro/ro_gsm8k,5,Josh decide să încerce să răstoarne o casă.  El cumpără o casă pentru 80.000 de dolari și apoi pune 50.000 de dolari în reparații.  Aceasta a crescut valoarea casei cu 150%. Cât profit a făcut?,"Costul casei și reparații a ieșit la 80.000+50.000=$<<80000+50000=130000>>130.000
A crescut valoarea casei cu 80.000*1.5=<<80000*1.5=120000>>120.000
Deci noua valoare a casei este 120,000+80,000=$<<120000+80000=200000>>200,000
Așa că a făcut un profit de 200.000-130.000=$<<200000-130000=70000>>70.000
#### 70000",70000,[invalid],0.0
3,OpenLLM-Ro/ro_gsm8k,5,James decide să alerge 3 sprinturi de 3 ori pe săptămână.  Aleargă 60 de metri pe sprint.  Câți metri în total aleargă o săptămână?,"El sprintează de 3*3=<<3*3=9>>9 ori
Deci, el rulează 9 * 60=< 9 * 60=540> 540 de metri
#### 540",540,[invalid],0.0
4,OpenLLM-Ro/ro_gsm8k,5,"În fiecare zi, Wendi hrănește fiecare dintre puii ei trei căni de hrană mixtă de pui, care conțin semințe, viermi de făină și legume pentru a-i ajuta să rămână sănătoși.  Ea dă puilor hrana lor în trei mese separate. Dimineața, ea dă turmei ei de găini 15 cești de hrană.  După-amiaza, ea oferă puilor ei încă 25 de cești de hrană.  Câte cești de hrană are nevoie să-și dea puii în masa finală a zilei dacă mărimea turmei lui Wendi este de 20 de pui?","Dacă fiecare pui mănâncă 3 cești de hrană pe zi, atunci pentru 20 de pui ar avea nevoie de 3*20=<<3*20=60>>60 de cești de hrană pe zi.
Dacă hrănește turma 15 cești de hrană dimineața și 25 de cești după-amiaza, atunci masa finală ar necesita 60-15-25=<<60-15-25=20>>20 de cești de hrană pentru pui.
#### 20",20,[invalid],0.0
5,OpenLLM-Ro/ro_gsm8k,5,"Kylar s-a dus la magazin să cumpere ochelari pentru noul său apartament. Un pahar costă 5 dolari, dar fiecare al doilea pahar costă doar 60% din preț. Kylar vrea să cumpere 16 ochelari. Cât trebuie să plătească pentru ei?","Prețul de discount al unui pahar este 60/100 * 5 = $<<60/100*5=3>>3.
Dacă fiecare al doilea pahar este mai ieftin, asta înseamnă că Kylar va cumpăra 16 / 2 = <<16/2=8>>8 pahare mai ieftine.
Deci, pentru ochelarii mai ieftini, Kylar va plăti 8 * 3 = $< 8 * 3=24> 24.
Iar pentru ochelarii cu preț normal, Kylar va plăti 8 * 5 = $<<8*5=40>>40.
Deci, în total Kylar trebuie să plătească 24 + 40 = $<<24+40=64>> 64 pentru ochelarii pe care vrea să-i cumpere.
#### 64",64,[invalid],0.0
6,OpenLLM-Ro/ro_gsm8k,5,"Toulouse are de două ori mai multe oi decât Charleston. Charleston are de 4 ori mai multe oi decât Seattle. Câte oi au Toulouse, Charleston și Seattle împreună dacă Seattle are 20 de oi?","Dacă Seattle are 20 de oi, Charleston are 4 * 20 de oi = <<20*4=80>>80 de oi
Toulouse are de două ori mai multe oi decât Charleston, care este de 2 * 80 oi = <<2 * 80=160>> 160 oi
Împreună, cele trei au 20 de oi + 160 de oi + 80 de oi = <<20+160+80=260>>260 de oi
#### 260",260,[invalid],0.0
7,OpenLLM-Ro/ro_gsm8k,5,"Carla descarcă un fișier de 200 GB. În mod normal, poate descărca 2 GB / minut, dar 40% din drum prin descărcare, Windows forțează o repornire pentru a instala actualizări, care durează 20 de minute. Apoi Carla trebuie să repornească descărcarea de la început. Cât durează descărcarea fișierului?","Mai întâi găsiți câte gigaocteți sunt în 40% din fișier: 200 GB * 40% = <<200*40*.01=80>>80 GB
Apoi împărțiți acel număr la rata de descărcare pentru a găsi timpul până la repornirea Windows: 80 GB / 2 GB / minut = <<80/2=40>>40 minute
Apoi găsiți timpul de descărcare a întregului fișier după repornire: 200 GB / 2 GB / minut = <<200/2=100>>100 minute
Apoi adăugați timpul pentru a descărca 40% din fișier, pentru a descărca întregul fișier și pentru a aștepta ca Windows să se actualizeze: 40 minute + 100 minute + 20 minute = <<40 + 100 + 20=160>> 160 minute
#### 160",160,[invalid],0.0
8,OpenLLM-Ro/ro_gsm8k,5,"John conduce timp de 3 ore la o viteză de 60 mph și apoi se întoarce pentru că își dă seama că a uitat ceva foarte important acasă.  El încearcă să ajungă acasă în 4 ore, dar își petrece primele 2 ore în trafic.  El își petrece următoarea jumătate de oră de conducere la o viteză de 30mph, înainte de a fi capabil de a conduce timpul rămas de 4 ore merge la 80 mph.  Cât de departe e de casă la sfârșitul celor 4 ore?","Când s-a întors era 3*60=<<3*60=180>>180 mile de acasă
A putut conduce doar 4-2=<<4-2=2>>2 ore în primele patru ore
În jumătate de oră merge 30*.5=<<30*.5=15>>15 mile
Apoi conduce încă 2-.5=<<2-.5=1.5>>1.5 ore
În acest timp el merge 80 * 1.5=<<80 * 1.5=120>> 120 mile
Așa că a condus 120+15=<<120+15=135>>135 mile
Deci, el este 180-135=<<180-135=45>> 45 mile departe de casă
#### 45",45,[invalid],0.0
9,OpenLLM-Ro/ro_gsm8k,5,"Rata Elizei pe oră pentru primele 40 de ore în care lucrează în fiecare săptămână este de 10 dolari. Ea primește, de asemenea, o plată pentru ore suplimentare de 1,2 ori tariful ei regulat pe oră. Dacă Eliza a lucrat timp de 45 de ore săptămâna asta, cât sunt câștigurile ei pentru această săptămână?","Eliza are dreptul la 45 -40 = <<45-40=5>> 5 ore de plata orelor suplimentare.
Tariful orar pentru plata orelor suplimentare este $10 x 1.2 = $<<10*1.2=12>>12.
Deci, Eliza va primi $12 x 5 =$<<12*5=60>>60 pentru plata orelor suplimentare.
Câștigul ei săptămânal regulat este de 10 $ x 40 = $<<10*40=400>> 400.
Astfel, Eliza va primi un total de $400 + $60 = $<<400+60=460>>460 pentru munca din această săptămână.
#### 460",460,[invalid],0.0
