doc_id,dataset,num_fewshot,sentence,option1,option2,correct_answer,correct_option_text,model_choice,model_chose_correct,accuracy,log_prob_option1,log_prob_option2
0,OpenLLM-Ro/ro_winogrande,5,Sarah a fost un chirurg mult mai bun decât Maria așa că _ întotdeauna a primit cazurile mai ușoare.,Sarah,Maria,2,Maria,1,False,0.0,-55.0,-58.5
1,OpenLLM-Ro/ro_winogrande,5,Sarah a fost un chirurg mult mai bun decât Maria așa că _ întotdeauna a primit cazurile mai grele.,Sarah,Maria,1,Sarah,1,True,1.0,-52.75,-56.25
2,OpenLLM-Ro/ro_winogrande,5,"Erau îngrijorați că vinul va strica patul și pătura, dar _ nu era stricat.",pătură,pat,2,pat,1,False,0.0,-40.75,-44.25
3,OpenLLM-Ro/ro_winogrande,5,"Terry a încercat să coacă vinetele în cuptorul de prăjitor de pâine, dar _ a fost prea mare.",vânătă,prăjitor de pâine,1,vânătă,2,False,0.0,-29.625,-28.625
4,OpenLLM-Ro/ro_winogrande,5,"Noaptea, Jeffrey stă mereu treaz mai târziu decât Hunter să se uite la TV pentru că _ se trezește târziu.",Jeffrey,Vânător,1,Jeffrey,1,True,1.0,-34.75,-40.0
5,OpenLLM-Ro/ro_winogrande,5,"Pisica lui Sarah are niște probleme cu gura, așa că o ia să o vadă pe Maria. _ este un proprietar de pisici responsabil.",Sarah,Maria,1,Sarah,1,True,1.0,-48.25,-49.5
6,OpenLLM-Ro/ro_winogrande,5,Casa pe care o aveau părinții mei când eram la școală era mult mai drăguță decât casa mea acum pentru că _ era sofisticat.,domiciliu,casă,1,domiciliu,1,True,1.0,-35.75,-37.75
7,OpenLLM-Ro/ro_winogrande,5,Casa pe care o aveau părinții mei când eram la școală era mult mai drăguță decât casa mea acum pentru că _ este gunoi.,domiciliu,casă,2,casă,2,True,1.0,-43.0,-42.75
8,OpenLLM-Ro/ro_winogrande,5,"Natalie are un soț bogat și o mulțime de bani, Jennifer este sărac _ trebuie să-și facă hainele.",Natalie,Jennifer,2,Jennifer,2,True,1.0,-48.0,-45.75
9,OpenLLM-Ro/ro_winogrande,5,Joe s-a dus imediat la brutărie în fața băncii deoarece _ avea o cantitate limitată din ceea ce își dorea.,brutărie,bancă,1,brutărie,1,True,1.0,-56.0,-58.5
